url,title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
https://www.netflix.com/title/28630857,Princess Mononoke,movie,"Action, Adventure, Animation",1997.0,tt0119698,8.3,445147.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
https://www.netflix.com/title/60023642,Spirited Away,movie,"Adventure, Animation, Family",2001.0,tt0245429,8.6,876218.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
https://www.netflix.com/title/563104,Groundhog Day,movie,"Comedy, Drama, Fantasy",1993.0,tt0107048,8.0,698284.0,"AD, AT, BE, DE, DZ, FR, GF, IL, JP, LI, LU, MA, MC, MU, PF, PL, TN, TR"
https://www.netflix.com/title/70011205,Bad Education,movie,"Crime, Drama",2004.0,tt0275491,7.4,64122.0,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GF, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
https://www.netflix.com/title/70023965,Brokeback Mountain,movie,"Drama, Romance",2005.0,tt0388795,7.7,392445.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, FI, FJ, FR, GF, GH, GQ, GR, GT, HK, HN, HR, HU, ID, IL, IN, IQ, IS, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
https://www.netflix.com/title/60021103,Akira,movie,"Action, Animation, Drama",1988.0,tt0094625,8.0,210230.0,"AG, AR, BE, BO, BR, CL, CO, CR, CU, DO, EC, FR, GT, HK, HN, IT, JP, LC, LU, MX, NI, NL, PA, PE, PY, SM, SV, UY, VE"
,Lost in Translation,movie,"Comedy, Drama",2003.0,tt0335266,7.7,501485.0,"AG, CA, ES"
https://www.netflix.com/title/70079583,The Dark Knight,movie,"Action, Crime, Drama",2008.0,tt0468569,9.0,2937756.0,"AD, AT, AU, BA, BG, CA, CH, CZ, DE, DK, ES, FI, HR, HU, IN, KR, LI, LU, MD, ME, MK, NO, NZ, PL, PT, RO, RS, SE, SI, SK"
https://www.netflix.com/title/60021783,Ocean's Eleven,movie,"Crime, Thriller",2001.0,tt0240772,7.7,631678.0,"AT, BE, CH, DE, HR, LI, LU"
https://www.netflix.com/title/70011211,Ocean's Twelve,movie,"Crime, Thriller",2004.0,tt0349903,6.5,420108.0,"AT, BE, CH, DE, LI, LU"
https://www.netflix.com/title/70003226,Saw,movie,"Horror, Mystery, Thriller",2004.0,tt0387564,7.6,478673.0,"AL, AR, AT, AZ, BE, BG, BO, BR, BY, BZ, CA, CL, CO, CR, CZ, DE, EC, EE, ES, GB, GG, GI, GR, GT, HN, HR, HU, IE, IT, KR, LI, LT, LU, LV, MC, MD, ME, MK, MT, MX, NI, NL, PA, PE, PL, PT, PY, RO, RS, SI, SK, SM, SV, UA, UY, VE"
https://www.netflix.com/title/60010514,Jackie Brown,movie,"Crime, Drama, Thriller",1997.0,tt0119396,7.5,382170.0,"AE, BH, DK, EG, FI, IQ, IS, IT, JO, KW, LB, LY, MC, MT, NO, OM, QA, SA, SE, SM, TR, YE"
https://www.netflix.com/title/70045267,Sin City: A Dame to Kill For,movie,"Action, Crime, Thriller",2014.0,tt0458481,6.5,172489.0,"AU, FJ, NZ, SG"
https://www.netflix.com/title/70000552,The Name of the Rose,movie,"Drama, Mystery, Thriller",1986.0,tt0091605,7.7,119715.0,ES
https://www.netflix.com/title/60022048,Amélie,movie,"Comedy, Romance",2001.0,tt0211915,8.3,805412.0,"JP, KR, TH"
https://www.netflix.com/title/1100354,The Wages of Fear,movie,"Adventure, Drama, Thriller",1953.0,tt0046268,8.1,68023.0,"AD, FR, GF, MC, PF"
https://www.netflix.com/title/70045862,Saw III,movie,"Horror, Mystery, Thriller",2006.0,tt0489270,6.2,216977.0,"AL, AR, AT, AZ, BG, BO, BR, BY, BZ, CL, CO, CR, CZ, DE, EC, EE, GB, GG, GI, GR, GT, HN, HR, HU, IE, LI, LT, LU, LV, MD, ME, MK, MT, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, UA, UY, VE"
